Generation,SelectedFeatures,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",153,86,60,0.007366,0.1569,0.006689,0.272,0.8542,267,41,51,272
1,"cp,trestbps,chol,oldpeak,slope,ca",172,112,62,0.004936,0.2367,0.005105,0.2051,0.851,260,36,58,277
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",150,122,38,0.00446,0.1837,0.002221,0.2926,0.8669,269,35,49,278
1,"sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",190,84,56,0.001931,0.1624,0.000267,0.216,0.8621,265,34,53,279
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",140,70,41,0.004283,0.2775,0.003088,0.1438,0.8669,271,37,47,276
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",174,109,35,0.001624,0.0883,0.009255,0.1189,0.8685,266,31,52,282
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",139,106,38,0.006748,0.1848,0.001365,0.2181,0.8605,267,37,51,276
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",191,119,59,0.009182,0.244,0.0044,0.1937,0.8479,259,37,59,276
1,"age,sex,cp,trestbps,chol,restecg,thalach,exang,oldpeak,slope,ca",146,123,41,0.007728,0.1607,0.001437,0.2232,0.8637,263,31,55,282
1,"age,sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",162,99,64,0.0001,0.1096,0.01,0.0883,0.8653,266,33,52,280
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",177,69,63,0.000276,0.3969,0.001023,0.1379,0.8542,267,41,51,272
1,"age,sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",190,109,41,0.007316,0.1889,0.007543,0.0588,0.8526,261,36,57,277
1,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",152,117,53,0.002782,0.0806,0.009757,0.2108,0.8637,261,29,57,284
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",165,82,45,0.00558,0.2926,0.004744,0.1479,0.8637,272,40,46,273
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",162,84,34,0.007837,0.3006,0.008714,0.2581,0.8653,271,38,47,275
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",143,85,64,0.005778,0.3755,0.004102,0.2565,0.8653,270,37,48,276
1,"sex,cp,trestbps,chol,thalach,oldpeak,slope,ca",153,116,45,0.006304,0.2709,0.009241,0.027,0.8669,272,38,46,275
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",158,76,40,0.001815,0.2616,0.000474,0.0198,0.8637,268,36,50,277
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",179,119,35,0.001559,0.2684,0.002612,0.1446,0.8494,257,34,61,279
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",185,73,48,0.003145,0.2535,0.003248,0.2853,0.8637,267,35,51,278
