Generation,SelectedFeatures,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",143,107,42,0.003552,0.0436,0.008441,0.1113,0.851,271,47,47,266
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",153,66,45,0.005346,0.0196,0.006951,0.2424,0.8542,260,34,58,279
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",156,77,57,0.005661,0.1892,0.007574,0.2735,0.8542,267,41,51,272
1,"cp,trestbps,chol,restecg,oldpeak,slope,ca",165,82,36,0.003245,0.3482,0.005372,0.1756,0.8542,263,37,55,276
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",154,127,40,0.006287,0.2726,0.000807,0.2405,0.8494,258,35,60,278
1,"sex,cp,trestbps,chol,fbs,restecg,oldpeak,slope,ca",188,93,43,0.000888,0.1281,1e-06,0.0961,0.8653,273,40,45,273
1,"cp,trestbps,chol,oldpeak,slope,ca",174,125,47,0.009642,0.0754,0.008511,0.0848,0.8415,259,41,59,272
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",190,94,56,0.002759,0.2145,0.000813,0.0464,0.8526,266,41,52,272
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",140,80,40,0.003638,0.1181,0.008661,0.121,0.8431,255,36,63,277
1,"cp,trestbps,chol,oldpeak,slope,ca",153,108,33,0.000976,0.0289,0.00077,0.1919,0.832,260,48,58,265
1,"cp,trestbps,chol,restecg,oldpeak,slope,ca",134,118,41,0.008486,0.0029,0.009827,0.1299,0.8336,245,32,73,281
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",154,121,34,0.009575,0.2525,0.003173,0.2449,0.8605,269,39,49,274
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",169,115,32,0.009334,0.2387,0.004221,0.0437,0.8526,265,40,53,273
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",153,127,33,0.005643,0.1738,0.004163,0.0647,0.859,265,36,53,277
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",133,112,57,0.008214,0.3529,0.00048,0.1598,0.8526,259,34,59,279
1,"cp,trestbps,chol,oldpeak,slope,ca",180,106,61,0.00443,0.3535,0.008626,0.2145,0.8415,256,38,62,275
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",180,98,37,0.000796,0.2315,0.004043,0.2899,0.8637,267,35,51,278
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",185,110,44,0.001567,0.1382,0.008195,0.1105,0.8558,260,33,58,280
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",168,91,39,0.000675,0.3067,0.000323,0.2099,0.859,256,27,62,286
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",166,118,60,0.000864,0.0354,0.002435,0.136,0.8447,258,38,60,275
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",154,108,56,0.009393,0.2415,0.009621,0.082,0.8605,267,37,51,276
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",147,70,44,0.002695,0.0072,0.003731,0.096,0.8542,267,41,51,272
1,"cp,trestbps,chol,oldpeak,slope,ca",187,91,61,0.009915,0.0786,0.004966,0.2821,0.8447,267,47,51,266
1,"cp,trestbps,chol,restecg,oldpeak,slope,ca",146,80,53,0.004148,0.2418,0.001555,0.0739,0.8494,266,43,52,270
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",178,92,49,0.004741,0.1068,0.01,0.2182,0.8558,265,38,53,275
1,"cp,trestbps,chol,restecg,oldpeak,slope,ca",174,110,44,0.005149,0.1497,0.002473,0.1084,0.8494,267,44,51,269
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",178,94,32,0.005044,0.2341,0.008054,0.0474,0.8368,252,37,66,276
1,"cp,trestbps,chol,oldpeak,slope,ca",128,109,60,0.007879,0.3771,0.003719,0.242,0.8447,262,42,56,271
1,"sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",163,86,40,0.002939,0.3301,1e-06,0.126,0.8748,266,27,52,286
1,"age,cp,trestbps,chol,oldpeak,slope,ca",148,91,55,0.000375,0.1704,0.005644,0.2614,0.8558,253,26,65,287
1,"cp,trestbps,chol,restecg,oldpeak,slope,ca",155,96,52,0.008255,0.0391,0.000162,0.049,0.8399,262,45,56,268
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",157,82,49,0.002329,0.3198,0.006321,0.0622,0.859,262,33,56,280
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",189,97,37,0.00962,0.2858,0.000582,0.2313,0.8526,259,34,59,279
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",161,71,54,0.008811,0.3291,0.002876,0.2154,0.8558,264,37,54,276
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",144,87,57,0.001086,0.0201,0.004002,0.1525,0.851,260,36,58,277
1,"sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",184,104,36,0.001259,0.2148,0.008308,0.0725,0.8748,270,31,48,282
1,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",169,83,36,0.000192,0.1381,0.009229,0.2014,0.8716,277,40,41,273
1,"cp,trestbps,chol,oldpeak,slope,ca",128,98,38,0.007085,0.2934,0.000229,0.2004,0.8399,248,31,70,282
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",188,75,37,0.008223,0.0005,0.005944,0.2791,0.8605,273,43,45,270
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",134,113,42,0.002527,0.345,0.004447,0.2761,0.8621,263,32,55,281
1,"cp,trestbps,chol,restecg,oldpeak,slope,ca",191,110,62,0.004918,0.21,0.006444,0.2833,0.8463,261,40,57,273
1,"cp,trestbps,chol,restecg,exang,oldpeak,slope,ca",176,107,59,0.006472,0.3394,0.00779,0.183,0.8479,251,29,67,284
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",183,127,58,0.001064,0.1868,0.001961,0.3,0.8637,263,31,55,282
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",184,65,57,0.003302,0.1863,0.008927,0.0791,0.8558,261,34,57,279
1,"sex,cp,trestbps,chol,restecg,oldpeak,slope,ca",190,124,40,0.008053,0.0688,0.009695,0.0877,0.851,250,26,68,287
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",171,89,44,0.003062,0.3767,0.006251,0.0114,0.8558,266,39,52,274
1,"cp,trestbps,chol,restecg,oldpeak,slope,ca",131,68,58,0.004271,0.3369,0.003797,0.1543,0.8415,256,38,62,275
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",149,120,33,0.009136,0.3814,0.0019,0.0956,0.8653,267,34,51,279
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",134,123,40,0.000233,0.0909,0.001869,0.1159,0.8574,260,32,58,281
1,"cp,trestbps,chol,restecg,oldpeak,slope,ca",156,109,59,0.006317,0.2779,0.003478,0.0894,0.8494,265,42,53,271
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",155,114,39,0.005943,0.1405,0.00525,0.2751,0.8574,267,39,51,274
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",167,92,34,0.0095,0.1324,0.01,0.182,0.8542,258,32,60,281
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",147,89,38,0.009644,0.3848,0.004458,0.2761,0.8542,258,32,60,281
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",173,108,55,0.000117,0.2753,0.00678,0.0794,0.8621,261,30,57,283
1,"cp,trestbps,chol,oldpeak,slope,ca",180,110,64,0.009558,0.2406,0.009527,0.2718,0.832,245,33,73,280
1,"cp,trestbps,chol,oldpeak,slope,ca",174,116,43,0.004493,0.2058,0.000204,0.1543,0.8368,255,40,63,273
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",151,112,38,0.001862,0.117,0.003453,0.0614,0.8605,266,36,52,277
1,"cp,trestbps,chol,restecg,exang,oldpeak,slope,ca",151,88,56,0.002207,0.0572,0.01,0.0123,0.8399,254,37,64,276
1,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",133,72,40,0.002744,0.0235,0.005377,0.1783,0.8732,266,28,52,285
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",146,94,40,0.007407,0.2393,0.009173,0.2637,0.8605,271,41,47,272
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",173,106,42,0.006485,0.1265,0.008726,0.0925,0.8542,264,38,54,275
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",136,92,47,0.005763,0.0384,0.004869,0.0238,0.8352,260,46,58,267
1,"cp,trestbps,chol,oldpeak,slope,ca",150,90,46,0.002757,0.1207,0.004,0.2883,0.8368,250,35,68,278
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",151,68,39,0.006631,0.2381,0.000192,0.222,0.8542,263,37,55,276
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",157,82,49,0.002329,0.2387,0.006321,0.0622,0.859,256,27,62,286
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",169,115,32,0.009334,0.3198,0.004221,0.0437,0.8526,258,33,60,280
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",151,68,39,0.006631,0.2381,0.000192,0.222,0.8542,257,31,61,282
2,"sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",184,104,36,0.001259,0.2148,0.008308,0.0725,0.8621,266,35,52,278
