Generation,SelectedFeatures,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",165,97,56,0.007816,0.1511,0.006999,0.2708,0.8399,256,39,62,274
1,"cp,trestbps,chol,oldpeak,slope,ca",171,97,39,0.005282,0.2054,0.007679,0.157,0.8035,292,98,26,215
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",145,113,43,0.008821,0.2473,0.009427,0.2891,0.6799,308,192,10,121
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",135,105,47,0.004896,0.2522,0.005655,0.0736,0.8558,259,32,59,281
1,"age,cp,trestbps,chol,thalach,oldpeak,slope,ca",184,103,48,0.002184,0.1236,0.006264,0.204,0.8415,248,30,70,283
1,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",180,105,40,0.009089,0.0649,0.002678,0.1382,0.8716,279,42,39,271
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",179,102,52,0.008918,0.2854,0.008016,0.2984,0.8304,290,79,28,234
1,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",158,105,37,0.002797,0.3392,0.006041,0.2268,0.813,212,12,106,301
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",131,86,33,0.002697,0.307,0.00613,0.2907,0.8526,270,45,48,268
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",143,101,39,0.004334,0.164,0.003939,0.1251,0.8352,241,27,77,286
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",133,113,63,0.009722,0.3535,0.002569,0.2598,0.8494,261,38,57,275
1,"cp,trestbps,chol,oldpeak,slope,ca",164,99,53,0.008956,0.2295,0.006306,0.0347,0.8193,225,21,93,292
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",142,113,46,0.000954,0.3366,0.009847,0.1708,0.8415,247,29,71,284
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",158,70,33,0.009514,0.0022,0.005643,0.1273,0.8494,284,61,34,252
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",176,66,35,0.002511,0.1807,0.001851,0.2287,0.8463,260,39,58,274
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",133,70,61,0.003176,0.1372,0.00847,0.2805,0.8352,238,24,80,289
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",139,84,51,0.001664,0.209,0.000302,0.2164,0.8463,242,21,76,292
1,"cp,trestbps,chol,oldpeak,slope,ca",132,127,32,0.000355,0.2995,0.008932,0.2245,0.8177,248,45,70,268
1,"cp,trestbps,chol,restecg,thalach,exang,oldpeak,slope,ca",144,67,52,0.00112,0.2197,0.007109,0.2154,0.8542,268,42,50,271
1,"age,cp,trestbps,chol,oldpeak,slope,ca",189,104,46,0.004582,0.096,0.004022,0.2989,0.8399,277,60,41,253
1,"cp,trestbps,chol,oldpeak,slope,ca",146,112,48,0.005685,0.2493,0.002038,0.0854,0.8463,256,35,62,278
1,"cp,trestbps,chol,oldpeak,slope,ca",144,66,38,0.004742,0.2973,0.006664,0.0855,0.8463,254,33,64,280
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",134,78,41,0.003954,0.2578,0.00293,0.2805,0.8558,275,48,43,265
1,"cp,trestbps,chol,oldpeak,slope,ca",177,116,58,0.002555,0.0285,0.003043,0.0899,0.8098,293,95,25,218
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",145,114,36,0.009606,0.2353,0.003577,0.2099,0.8241,234,27,84,286
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",160,77,49,0.000423,0.3348,7.6e-05,0.2883,0.8209,229,24,89,289
1,"cp,trestbps,chol,oldpeak,slope,ca",189,89,61,0.007043,0.0023,0.008122,0.1733,0.7924,198,11,120,302
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",130,80,57,0.006242,0.2516,0.000554,0.2263,0.8447,284,64,34,249
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",161,77,39,0.003745,0.086,0.002779,0.2858,0.8605,283,53,35,260
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",129,116,47,0.005245,0.2996,0.002379,0.2003,0.8415,248,30,70,283
1,"cp,trestbps,chol,oldpeak,slope,ca",162,88,34,0.006933,0.3909,0.009857,0.0977,0.8384,286,70,32,243
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",168,121,34,0.009691,0.2629,0.005163,0.2786,0.8494,278,55,40,258
1,"cp,trestbps,chol,fbs,restecg,exang,oldpeak,slope,ca",185,68,37,0.00781,0.3925,1e-06,0.01,0.8685,259,24,59,289
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",148,89,59,0.005123,0.0402,0.005379,0.0227,0.8098,302,104,16,209
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",168,66,58,0.000773,0.1219,0.007531,0.0366,0.8177,225,22,93,291
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",172,75,45,0.008687,0.101,0.009512,0.263,0.8082,296,99,22,214
1,"cp,trestbps,chol,oldpeak,slope,ca",129,108,53,0.00045,0.0622,0.000636,0.1443,0.8288,239,29,79,284
1,"cp,trestbps,chol,oldpeak,slope,ca",185,100,53,0.005268,0.3046,0.000193,0.0985,0.8384,267,51,51,262
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",167,76,40,0.008947,0.1118,0.003131,0.0933,0.8558,279,52,39,261
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",128,101,36,0.002597,0.3959,0.001074,0.2126,0.8479,271,49,47,264
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",144,97,54,0.007299,0.3998,0.005698,0.121,0.8415,246,28,72,285
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",177,126,58,0.00406,0.0107,0.004857,0.219,0.8542,274,48,44,265
1,"cp,trestbps,chol,thalach,exang,oldpeak,slope,ca",147,127,49,0.0001,0.3774,0.001701,0.01,0.7845,210,28,108,285
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",140,114,63,0.007238,0.2517,0.000968,0.0199,0.859,266,37,52,276
1,"cp,trestbps,chol,oldpeak,slope,ca",177,114,52,0.006931,0.2978,0.007851,0.2471,0.8431,268,49,50,264
1,"cp,trestbps,chol,oldpeak,slope,ca",191,114,39,0.008281,0.048,0.00564,0.2917,0.7956,200,11,118,302
1,"cp,trestbps,chol,thalach,exang,oldpeak,slope,ca",169,107,42,0.000856,0.342,0.01,0.028,0.8463,257,36,61,277
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",139,117,40,0.008369,0.3995,0.000594,0.0507,0.8526,277,52,41,261
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",153,116,36,0.005944,0.2867,0.001067,0.256,0.8447,281,61,37,252
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",186,71,57,0.007792,0.0156,0.005481,0.1782,0.8558,277,50,41,263
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",183,85,52,0.006341,0.2302,0.007964,0.2048,0.8526,261,36,57,277
1,"cp,trestbps,chol,oldpeak,slope,ca",167,123,59,0.005648,0.3885,0.004437,0.2479,0.8241,289,82,29,231
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",175,115,33,0.009056,0.3795,0.004918,0.0202,0.8574,261,33,57,280
1,"age,cp,trestbps,chol,oldpeak,slope,ca",191,78,41,0.007216,0.1891,0.006606,0.1864,0.7116,308,172,10,141
1,"cp,trestbps,chol,restecg,thalach,exang,oldpeak,slope,ca",161,85,59,0.005073,0.1861,0.009527,0.2646,0.8574,259,31,59,282
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",184,118,54,0.006171,0.3824,0.00095,0.0369,0.8463,252,31,66,282
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",133,125,51,0.004745,0.0867,0.009251,0.0379,0.8209,292,87,26,226
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",143,79,52,0.002307,0.083,0.003781,0.1282,0.8431,240,21,78,292
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",163,117,44,0.0075,0.0399,0.007904,0.131,0.7829,295,114,23,199
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",150,94,64,0.007168,0.1166,0.00965,0.0905,0.8288,227,17,91,296
1,"cp,trestbps,chol,fbs,thalach,oldpeak,slope,ca",138,103,33,0.0001,0.0237,0.00632,0.1951,0.8209,233,28,85,285
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",151,92,52,0.006804,0.2829,0.009948,0.1057,0.859,284,55,34,258
1,"cp,trestbps,chol,oldpeak,slope,ca",132,104,44,0.009372,0.2466,0.001278,0.1203,0.8304,241,30,77,283
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",169,117,47,0.00804,0.321,0.001174,0.2954,0.859,263,34,55,279
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",167,76,40,0.008947,0.1118,0.003131,0.0933,0.8542,253,27,65,286
2,"cp,trestbps,chol,fbs,restecg,exang,oldpeak,slope,ca",185,68,37,0.00781,0.3925,1e-06,0.01,0.8558,261,34,57,279
2,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",144,66,38,0.004742,0.2973,0.006664,0.0855,0.8574,286,58,32,255
2,"cp,trestbps,chol,oldpeak,slope,ca",180,105,40,0.009089,0.0649,0.002678,0.1382,0.7781,296,118,22,195
2,"cp,trestbps,chol,restecg,thalach,exang,oldpeak,slope,ca",161,85,59,0.005073,0.1861,0.009527,0.2646,0.8621,261,30,57,283
2,"cp,trestbps,chol,thalach,oldpeak,slope,ca",133,113,63,0.009722,0.3535,0.002569,0.2598,0.8447,252,32,66,281
2,"cp,trestbps,chol,thalach,oldpeak,slope,ca",131,86,33,0.002697,0.307,0.00613,0.2907,0.8336,242,29,76,284
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",139,117,40,0.008369,0.3995,0.01,0.0507,0.8558,257,30,61,283
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",167,76,40,0.008947,0.1118,0.003131,0.0933,0.851,264,40,54,273
2,"cp,trestbps,chol,fbs,restecg,exang,oldpeak,slope,ca",185,68,37,0.00781,0.3925,0.01,0.01,0.8384,237,21,81,292
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",139,84,51,0.001664,0.2996,0.002379,0.2003,0.8273,288,79,30,234
2,"age,cp,trestbps,chol,fbs,thalach,oldpeak,slope,ca",129,116,47,0.005245,0.209,0.000302,0.2164,0.8415,246,28,72,285
2,"cp,trestbps,chol,fbs,restecg,exang,oldpeak,slope,ca",185,68,37,0.00781,0.3925,1e-06,0.01,0.8352,232,18,86,295
