Generation,SelectedFeatures,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
1,"cp,trestbps,chol,oldpeak,slope,ca",192,104,37,0.006812,0.2624,0.004078,0.1952,0.8399,251,34,67,279
1,"cp,trestbps,chol,restecg,oldpeak,slope,ca",182,121,41,0.006177,0.3628,0.003092,0.1554,0.8479,261,39,57,274
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",138,70,35,0.005615,0.3629,0.01,0.2936,0.8526,260,35,58,278
1,"cp,trestbps,chol,oldpeak,slope,ca",137,126,49,0.005231,0.3639,0.004721,0.1364,0.8415,251,33,67,280
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",132,68,63,0.007387,0.3085,0.00381,0.1421,0.8479,257,35,61,278
1,"sex,cp,trestbps,chol,fbs,restecg,oldpeak,slope,ca",149,115,46,0.0001,0.2862,0.01,0.1559,0.8637,259,27,59,286
1,"cp,trestbps,chol,oldpeak,slope,ca",173,117,47,0.004997,0.3104,0.001447,0.2746,0.8368,257,42,61,271
1,"cp,trestbps,chol,restecg,oldpeak,slope,ca",150,123,62,0.009334,0.1849,0.004619,0.1302,0.8288,256,46,62,267
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",181,89,44,0.000898,0.3316,0.000976,0.0671,0.851,262,38,56,275
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",146,82,44,0.0001,0.1101,0.003593,0.0684,0.8637,271,39,47,274
1,"cp,trestbps,chol,restecg,oldpeak,slope,ca",138,98,39,0.003943,0.2975,0.002908,0.1649,0.8463,259,38,59,275
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",148,106,39,0.002698,0.0143,0.009155,0.2154,0.8399,261,44,57,269
1,"cp,trestbps,chol,oldpeak,slope,ca",151,112,55,0.002395,0.3151,0.005489,0.0534,0.8415,259,41,59,272
1,"cp,trestbps,chol,restecg,oldpeak,slope,ca",166,111,57,0.008696,0.1318,0.001102,0.1044,0.8494,267,44,51,269
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",170,119,52,0.006713,0.141,0.000311,0.0196,0.8399,262,45,56,268
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",156,68,48,0.006743,0.0445,0.009446,0.253,0.8415,270,52,48,261
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",165,78,51,0.003334,0.3818,0.007235,0.2529,0.8605,261,31,57,282
1,"cp,trestbps,chol,restecg,oldpeak,slope,ca",147,108,41,0.002171,0.3912,0.000995,0.2576,0.8558,263,36,55,277
1,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",131,106,34,0.005654,0.3923,0.007941,0.259,0.851,266,42,52,271
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",169,80,59,0.002194,0.2541,0.007604,0.1039,0.859,264,35,54,278
1,"age,cp,trestbps,chol,oldpeak,slope,ca",142,67,38,0.0054,0.0656,0.004728,0.0682,0.8415,252,34,66,279
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",158,110,57,0.004506,0.0882,0.003901,0.2058,0.851,268,44,50,269
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",159,93,55,0.00264,0.12,0.009828,0.011,0.8494,262,39,56,274
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",157,96,52,0.005481,0.1431,0.01,0.0339,0.8415,256,38,62,275
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",181,110,35,0.002738,0.32,0.005914,0.129,0.8621,270,39,48,274
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",168,74,38,0.00118,0.1762,0.009568,0.2885,0.8605,262,32,56,281
