Generation,SelectedFeatures,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
1,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",155,94,40,0.009162,0.1637,0.009615,0.0695,0.8494,255,32,63,281
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",130,119,39,0.00771,0.0739,0.003942,0.2165,0.8574,274,46,44,267
1,"age,cp,trestbps,chol,thalach,oldpeak,slope,ca",178,71,44,0.006769,0.3184,0.008954,0.1953,0.832,247,35,71,278
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",130,75,54,0.009452,0.005,0.000377,0.223,0.859,270,41,48,272
1,"cp,trestbps,chol,oldpeak,slope,ca",174,107,49,0.00783,0.1573,0.009323,0.1015,0.8225,250,44,68,269
1,"age,cp,trestbps,chol,fbs,oldpeak,slope,ca",142,90,62,0.001231,0.3782,0.001086,0.2649,0.8336,254,41,64,272
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",130,91,46,0.004793,0.2152,0.007509,0.0633,0.8542,273,47,45,266
1,"sex,cp,trestbps,chol,oldpeak,slope,ca",133,92,44,0.005183,0.18,0.006573,0.2478,0.8336,251,38,67,275
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",181,73,45,0.009909,0.1625,0.002398,0.0493,0.859,275,46,43,267
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",177,106,43,0.004847,0.1985,0.005756,0.0416,0.8368,251,36,67,277
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",181,101,32,0.001047,0.1973,0.007697,0.0625,0.8558,270,43,48,270
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",176,83,47,0.009588,0.2537,0.005316,0.1898,0.8621,267,36,51,277
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",179,68,37,0.008471,0.1164,0.005982,0.032,0.8193,229,25,89,288
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",161,93,55,0.004745,0.0343,0.008375,0.0536,0.8605,273,43,45,270
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",128,117,56,0.003591,0.3098,0.005142,0.0955,0.8368,252,37,66,276
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",190,113,43,0.001628,0.2306,0.000501,0.2377,0.8288,244,34,74,279
