Generation,SelectedFeatures,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",158,67,38,0.00045,0.0726,0.00096,0.0874,0.851,261,37,57,276
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",147,84,39,0.009976,0.292,0.002527,0.0304,0.8621,272,41,46,272
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",185,97,36,0.008779,0.3315,0.009256,0.1738,0.8431,262,43,56,270
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",169,103,34,0.005489,0.3188,0.008602,0.0277,0.8653,270,37,48,276
1,"cp,trestbps,chol,oldpeak,slope,ca",172,64,40,0.00201,0.0531,0.000667,0.1709,0.8431,264,45,54,268
1,"sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",157,90,53,0.000218,0.0,0.002718,0.0731,0.8574,265,37,53,276
1,"age,cp,trestbps,chol,thalach,oldpeak,slope,ca",174,76,58,0.001404,0.0046,0.008166,0.0204,0.8479,257,35,61,278
1,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",130,99,63,0.002049,0.3616,0.002391,0.094,0.8605,267,37,51,276
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",163,64,59,0.004045,0.3166,0.009906,0.1759,0.8685,271,36,47,277
1,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",149,64,52,0.00087,0.103,0.01,0.0427,0.8637,269,37,49,276
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",185,80,54,0.002955,0.1236,0.008356,0.0924,0.8653,267,34,51,279
1,"cp,trestbps,chol,oldpeak,slope,ca",151,87,51,0.002125,0.3213,0.00433,0.0993,0.8447,265,45,53,268
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",168,74,42,0.007351,0.3372,0.001381,0.181,0.8526,260,35,58,278
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",176,110,46,0.004772,0.3196,0.005769,0.0536,0.8685,270,35,48,278
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",140,79,32,0.000826,0.3736,0.002814,0.0956,0.8526,262,37,56,276
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",179,89,53,0.004679,0.2518,0.008897,0.072,0.8621,270,39,48,274
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",143,85,33,0.003426,0.2395,0.008607,0.1852,0.859,266,37,52,276
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",159,83,46,0.001192,0.2486,0.008009,0.0431,0.8463,262,41,56,272
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",190,103,49,0.008577,0.3153,0.008678,0.2886,0.8431,278,59,40,254
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",174,107,52,0.005239,0.3581,0.005029,0.2501,0.8494,263,40,55,273
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",160,112,46,0.000187,0.0613,0.001709,0.2295,0.8605,265,35,53,278
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",133,122,51,0.003492,0.2046,0.005519,0.0115,0.8669,265,31,53,282
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",161,75,55,0.007613,0.1109,0.005832,0.1162,0.8558,268,41,50,272
1,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",137,88,34,0.01,0.2151,1e-06,0.3,0.8653,271,38,47,275
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",134,102,44,0.003027,0.3109,0.002714,0.2298,0.8415,256,38,62,275
1,"cp,trestbps,chol,oldpeak,slope,ca",133,112,36,0.005181,0.0289,0.001355,0.2307,0.8447,260,40,58,273
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",146,75,61,0.00288,0.1894,0.000104,0.0777,0.8574,260,32,58,281
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",152,113,52,0.003243,0.2054,0.001012,0.1848,0.8716,269,32,49,281
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",146,82,57,0.001121,0.2858,0.00509,0.1773,0.8605,269,39,49,274
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",136,108,64,0.004783,0.2671,0.005681,0.2007,0.8574,266,38,52,275
1,"age,cp,trestbps,chol,thalach,oldpeak,slope,ca",168,112,36,0.009085,0.2804,0.00294,0.1108,0.8605,269,39,49,274
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",181,81,50,0.003968,0.0061,0.007329,0.0508,0.8494,264,41,54,272
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",160,88,38,0.006118,0.1558,0.005446,0.1665,0.8542,260,34,58,279
1,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",152,91,32,0.006265,0.0371,0.01,0.0456,0.8463,261,40,57,273
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",140,119,64,0.007847,0.3387,0.005803,0.0584,0.8574,265,37,53,276
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",160,98,47,0.006623,0.3866,0.006217,0.2725,0.8605,267,37,51,276
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",136,115,62,0.001536,0.332,0.009068,0.0662,0.8605,267,37,51,276
1,"cp,trestbps,chol,oldpeak,slope,ca",162,128,59,0.000707,0.0559,0.005894,0.197,0.8463,270,49,48,264
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",132,117,37,0.009166,0.2821,0.002607,0.0614,0.8542,263,37,55,276
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",180,109,38,0.002205,0.0069,0.006651,0.0613,0.8558,263,36,55,277
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",174,104,38,0.009323,0.1322,0.008585,0.2835,0.8288,258,48,60,265
1,"cp,trestbps,chol,oldpeak,slope,ca",170,102,34,0.009824,0.2667,0.006483,0.2182,0.8304,254,43,64,270
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",136,115,39,0.008876,0.1354,0.000143,0.1383,0.8637,264,32,54,281
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",145,99,60,0.00167,0.0255,0.009999,0.2946,0.8574,266,38,52,275
1,"age,cp,trestbps,chol,oldpeak,slope,ca",189,71,40,0.0001,0.3626,0.002409,0.172,0.8304,258,47,60,266
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",187,90,61,0.001062,0.1363,0.00702,0.2,0.8558,263,36,55,277
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",135,105,56,0.00339,0.1522,0.003494,0.2654,0.8479,258,36,60,277
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",192,119,46,0.009945,0.3839,0.00414,0.1952,0.8526,272,47,46,266
1,"cp,trestbps,chol,oldpeak,slope,ca",131,84,61,0.007787,0.3316,0.009495,0.149,0.8288,271,61,47,252
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",148,114,47,0.004138,0.1667,0.002027,0.0969,0.8558,259,32,59,281
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",162,121,39,0.002751,0.1714,0.003307,0.2208,0.8558,261,34,57,279
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",142,82,64,0.001241,0.2323,0.005411,0.0221,0.87,268,32,50,281
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",174,103,47,0.003368,0.158,0.001614,0.127,0.851,258,34,60,279
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",151,73,37,0.00976,0.0079,0.009389,0.2259,0.8431,277,58,41,255
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",163,84,36,0.004281,0.1298,0.004101,0.0148,0.8494,256,33,62,280
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",140,111,45,0.002726,0.1889,0.003175,0.2109,0.8542,262,36,56,277
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",169,103,62,0.00497,0.359,0.00639,0.0197,0.8558,267,40,51,273
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",152,92,46,0.004619,0.2776,0.005747,0.2859,0.8605,269,39,49,274
1,"cp,trestbps,chol,oldpeak,slope,ca",174,68,44,0.008093,0.169,0.001162,0.2851,0.8542,275,49,43,264
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",172,128,52,0.004647,0.3749,0.007959,0.2503,0.8621,273,42,45,271
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",132,96,54,0.006816,0.1593,0.001675,0.0237,0.8479,257,35,61,278
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",185,69,55,0.005345,0.0327,0.003453,0.1543,0.8558,266,39,52,274
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",154,119,57,0.005069,0.3221,0.004524,0.0596,0.8526,266,41,52,272
1,"cp,trestbps,chol,oldpeak,slope,ca",142,65,63,0.006219,0.1269,0.005314,0.0121,0.8463,262,41,56,272
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",136,115,39,0.008876,0.1354,0.000143,0.1383,0.8542,266,40,52,273
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",185,69,55,0.005345,0.0327,0.003453,0.1543,0.8574,264,36,54,277
2,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",180,109,38,0.002205,0.0069,0.006651,0.0613,0.8605,264,34,54,279
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",149,64,52,0.00087,0.103,0.01,0.0427,0.859,263,34,55,279
2,"age,cp,trestbps,chol,thalach,oldpeak,slope,ca",168,112,36,0.009085,0.2804,0.00294,0.1108,0.8542,261,35,57,278
