Generation,Individual,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
1,"[149, 104, 91, 0.006464643872646969, 0.16018784891861798, 0.005993151677778271, 0.18693433073266202]",149,104,91,0.006465,0.1602,0.005993,0.1869,0.8017,188,54,41,196
1,"[181, 138, 91, 0.0012162664115982441, 0.06404840665828247, 0.004193831103874407, 0.06081823448013028]",181,138,91,0.001216,0.064,0.004194,0.0608,0.7996,178,45,51,205
1,"[187, 147, 76, 0.007646682362531218, 0.21958093912151877, 0.0006601359370458759, 0.05008225481244677]",187,147,76,0.007647,0.2196,0.00066,0.0501,0.7641,198,82,31,168
1,"[190, 95, 92, 0.005812234807847734, 0.1780282787375638, 0.0020861691429335176, 0.2539550616148441]",190,95,92,0.005812,0.178,0.002086,0.254,0.666,219,150,10,100
1,"[160, 81, 36, 0.009607129388467792, 0.15151133999316813, 0.005453677348043984, 0.10380639532001207]",160,81,36,0.009607,0.1515,0.005454,0.1038,0.572,225,201,4,49
1,"[103, 94, 43, 0.006928778981736873, 0.07078064153305164, 0.00277449629368342, 0.17634354045701886]",103,94,43,0.006929,0.0708,0.002774,0.1763,0.7035,214,127,15,123
1,"[116, 64, 59, 0.009883226549987712, 0.2039572541140371, 0.00978673908098596, 0.2438599145891339]",116,64,59,0.009883,0.204,0.009787,0.2439,0.5553,228,212,1,38
1,"[136, 150, 90, 0.0053447567373898705, 0.16808519482979628, 0.0089768908367267, 0.13564290291601902]",136,150,90,0.005345,0.1681,0.008977,0.1356,0.7328,185,84,44,166
1,"[157, 143, 41, 0.0025733388248606677, 0.21637969562875858, 0.0055905474323612704, 0.17040576456807716]",157,143,41,0.002573,0.2164,0.005591,0.1704,0.7871,192,65,37,185
1,"[178, 126, 60, 0.002927153604722657, 0.029114328709321333, 0.0036110903869156262, 0.11365269515297008]",178,126,60,0.002927,0.0291,0.003611,0.1137,0.4885,227,243,2,7
1,"[110, 112, 58, 0.004671795929525377, 0.12704391321464537, 0.005615213815709204, 0.14929405833852907]",110,112,58,0.004672,0.127,0.005615,0.1493,0.6117,220,177,9,73
1,"[128, 127, 62, 0.009091571038521352, 0.05120047211108467, 0.009373166045610514, 0.012333310640525905]",128,127,62,0.009092,0.0512,0.009373,0.0123,0.4969,229,241,0,9
1,"[161, 144, 52, 0.00011178392149731481, 0.07546979180305655, 0.01, 0.06331173060411888]",161,144,52,0.000112,0.0755,0.01,0.0633,0.6555,202,138,27,112
1,"[160, 123, 81, 0.008406610445633607, 0.15252870320941625, 0.0032785669474779643, 0.2414677486455158]",160,123,81,0.008407,0.1525,0.003279,0.2415,0.7223,203,107,26,143
1,"[134, 144, 48, 0.007591425037642772, 0.18384603476987638, 0.006712777617084821, 0.20245629128079265]",134,144,48,0.007591,0.1838,0.006713,0.2025,0.7328,208,107,21,143
